video_id	side	t_sec	game_idx	frame_idx	chain_count_off	chain_count_on	total_erased_off	total_erased_on	total_ojama_off	total_ojama_on
c112	2P	1145.47	15	68728	2	2	10	9	2	2
c113	2P	1388.23	17	83294	1	1	5	4	0	0
c113	1P	2428.10	34	145686	1	1	5	4	0	0
c113	2P	2901.00	40	174060	1	0	4	0	0	0
c114	1P	1155.63	14	69338	1	0	4	0	0	0
c114	2P	1157.50	14	69450	1	0	4	0	0	0
c114	1P	2651.23	37	159074	1	0	4	0	0	0
c115	1P	1360.13	19	81608	1	0	4	0	1	0
c115	1P	1825.77	28	109546	1	0	4	0	0	0
c115	1P	1827.23	28	109634	1	0	4	0	0	0
c115	1P	1827.73	28	109664	1	0	4	0	0	0
c115	1P	1829.33	28	109760	1	0	4	0	0	0
c115	1P	1829.83	28	109790	1	0	4	0	0	0
c115	1P	1830.10	28	109806	2	6	13	30	0	0
c116	1P	165.77	0	4973	1	0	4	0	0	0
c116	1P	1720.37	30	51611	1	1	5	4	2	2
c116	2P	2800.03	47	84001	1	0	4	0	5	0
c117	1P	2483.93	43	149036	1	1	5	4	0	0
c118	1P	1411.03	19	84662	1	0	4	0	0	0
c118	1P	1603.37	22	96202	1	0	4	0	0	0
c12	2P	935.80	10	56148	1	0	4	0	0	0
c12	2P	936.27	10	56176	1	0	4	0	0	0
c12	2P	1154.10	13	69246	1	0	4	0	0	0
c12	2P	1155.30	13	69318	2	2	15	16	0	0
c12	2P	1155.57	13	69334	2	2	15	16	0	0
c12	1P	1579.30	20	94758	1	1	5	4	2	2
c120	1P	483.97	7	29038	3	5	14	23	0	0
c120	1P	2143.10	35	128586	3	3	15	14	3	3
c120	2P	2667.63	44	160058	1	0	4	0	0	0
c120	2P	2668.53	44	160112	1	0	4	0	0	0
c120	2P	2669.23	44	160154	1	0	4	0	0	0
c121	2P	2886.40	49	173184	1	0	4	0	0	0
c122	1P	243.90	1	7317	1	0	4	0	0	0
c122	1P	506.90	5	15207	1	1	5	4	1	1
c122	1P	1929.87	32	57896	1	1	5	4	0	0
c122	1P	3292.27	55	98768	1	1	5	4	0	0
c125	1P	1672.40	23	100344	1	1	5	4	2	2
c125	1P	1695.20	23	101712	1	0	4	0	0	0
c125	1P	1696.33	23	101780	1	0	4	0	0	0
c125	1P	1697.03	23	101822	1	0	4	0	0	0
c125	1P	1697.70	23	101862	1	0	4	0	0	0
c125	1P	1698.63	23	101918	1	0	4	0	0	0
c126	2P	1120.07	17	67204	14	14	66	65	0	0
c126	2P	1319.87	21	79192	1	0	4	0	0	0
c126	1P	1510.03	24	90602	1	0	4	0	0	0
c126	1P	2680.67	46	160840	1	0	4	0	0	0
c126	1P	2681.50	46	160890	1	0	4	0	0	0
c126	1P	2682.03	46	160922	1	0	4	0	0	0
c126	1P	2682.87	46	160972	1	0	4	0	0	0
c126	1P	2684.00	46	161040	1	0	4	0	0	0
c126	1P	2684.47	46	161068	1	0	4	0	0	0
c126	1P	2684.60	46	161076	1	0	4	0	0	0
c126	2P	2838.80	48	170328	1	0	4	0	0	0
c127	2P	692.53	9	41552	1	1	5	4	1	1
c127	2P	692.57	9	41554	1	1	5	4	1	1
c127	2P	692.83	9	41570	1	1	5	4	1	1
c127	1P	1105.80	16	66348	1	0	4	0	0	0
c127	1P	1107.03	16	66422	1	0	4	0	0	0
c127	1P	1107.50	16	66450	1	0	4	0	0	0
c127	1P	1107.77	16	66466	1	0	4	0	0	0
c127	1P	1108.23	16	66494	1	0	4	0	0	0
