video_name	video_id	duration_sec	title	tier	source_file	on_disk
video_c90	V5J4OrCIVD8		【C2・D級複合決勝トーナメント決勝】akane vs ゆなさ(おいう)  20先(解説：ぴぽにあ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	その他大会系	data/_dl_expand.tsv	1
video_c91	RrKO4QJ8ueg		【B2・C1級複合決勝トーナメント決勝】nuirapa vs Mる  30先(解説：ぴぽにあ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	その他大会系	data/_dl_expand.tsv	1
video_c92	v_pziuEthRo		【C1・C2級複合決勝トーナメント決勝】くろけろ vs Ion  20先(解説：ぴぽにあ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	その他大会系	data/_dl_expand.tsv	1
video_c93	2DXvHPrIlwI		【A・B1級複合決勝トーナメント準々決勝】いつき vs ktr  30先(解説：さがわ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	その他大会系	data/_dl_expand.tsv	1
video_c94	TGPsh9xxEVs		【A・B1級複合決勝トーナメント準々決勝】edo vs jig  30先(解説：ぴぽにあ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	その他大会系	data/_dl_expand.tsv	1
video_c95	lWmBXteEbeg		【マスター進出決定トーナメント・Bブロック】3 vsにゃんきち  30先(解説：ヨダソウマ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/_dl_expand.tsv	1
video_c96	KmRmSHe7DPg		【第2回新おいうリーグS級リーグ最終戦】「delta vs のらすけ」「live vs ちゃるめらー」「ともくん vs ゆうき」30先 #ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ	S級	data/_dl_expand2_2026-08-07.tsv	0
video_c97	qQPN_WH0rsE		【S級リーグ】ともくん vs delta 30先(解説：ヨダソウマ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ	S級	data/_dl_expand2_2026-08-07.tsv	0
video_c98	11yd57NnD3k		【S級リーグ】ちゃるめらー vs ゆうき 30先(解説：ALF)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ	S級	data/_dl_expand2_2026-08-07.tsv	0
video_c99	AUkdmRo3cA4		【S級リーグ】のらすけ vs live 30先(解説：fron)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ	S級	data/_dl_expand2_2026-08-07.tsv	0
video_olRyxDGacbg				UNCONFIRMED		1
video_s1	04Lb9BZCpP0	2902.0	【S級決定戦】レイン vs ゆうき 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	S級	scripts/_dl_tier_avc1.sh	1
video_s2	UpnGj22itdA	3047.0	【S級決定戦】ゆが vs レイン 30先(解説：ヨダソウマ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	S級	scripts/_dl_tier_avc1.sh	1
video_s3	GDfVPnyrfwU	3891.0	【S級決定戦】ゆが vs ゆうき 30先(解説：Shiyota)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	S級	scripts/_dl_tier_avc1.sh	1
