match_id	n_pairs
video_c57::4	48
video_c57::5	48
video_c57::6	107
video_c57::7	85
video_c57::8	61
video_c57::9	58
video_c58::0	87
video_c58::1	84
video_c58::2	189
video_c58::3	65
video_c58::4	196
video_c58::5	120
video_c58::6	117
video_c58::7	252
video_c58::8	94
video_c58::9	515
video_c59::0	56
video_c59::1	49
video_c59::10	49
video_c59::11	10
video_c59::12	63
video_c59::13	64
video_c59::14	64
video_c59::15	54
video_c59::16	65
video_c59::2	24
video_c59::3	49
video_c59::4	110
video_c59::5	50
video_c59::6	60
video_c59::7	56
video_c59::8	70
video_c59::9	75
video_c60::0	39
video_c60::1	106
video_c60::10	19
video_c60::11	61
video_c60::12	36
video_c60::13	25
video_c60::14	58
video_c60::15	94
video_c60::16	41
video_c60::17	3
video_c60::2	42
video_c60::3	54
video_c60::4	53
video_c60::5	56
video_c60::6	50
video_c60::7	56
video_c60::8	5
video_c60::9	62
video_c61::0	40
video_c61::1	19
video_c61::10	60
video_c61::11	28
video_c61::12	65
video_c61::13	46
video_c61::14	28
video_c61::15	46
video_c61::16	66
video_c61::17	23
video_c61::18	14
video_c61::19	61
video_c61::2	23
video_c61::20	40
video_c61::21	44
video_c61::3	20
video_c61::4	47
video_c61::5	23
video_c61::6	53
video_c61::7	41
video_c61::8	71
video_c61::9	45
video_c62::0	78
video_c62::1	67
video_c62::10	52
video_c62::11	40
video_c62::12	27
video_c62::13	29
video_c62::14	55
video_c62::15	49
video_c62::16	36
video_c62::17	74
video_c62::18	49
video_c62::19	73
video_c62::2	48
video_c62::20	8
video_c62::3	20
video_c62::4	117
video_c62::5	53
video_c62::6	66
video_c62::7	59
video_c62::8	120
video_c62::9	47
video_c63::0	46
video_c63::1	58
video_c63::10	35
video_c63::11	87
video_c63::12	50
video_c63::13	33
video_c63::14	63
video_c63::15	43
video_c63::16	48
video_c63::17	9
video_c63::18	51
video_c63::19	12
video_c63::2	48
video_c63::3	38
video_c63::4	47
video_c63::5	45
video_c63::6	40
video_c63::7	61
video_c63::8	89
video_c63::9	39
video_c64::0	62
video_c64::1	78
video_c64::2	60
video_c64::3	49
video_c64::4	41
video_c64::5	79
video_c64::6	35
video_c65::0	66
video_c65::1	45
video_c65::10	61
video_c65::11	77
video_c65::12	52
video_c65::13	74
video_c65::14	35
video_c65::15	71
video_c65::16	85
video_c65::17	61
video_c65::18	21
video_c65::2	72
video_c65::3	128
video_c65::4	31
video_c65::5	54
video_c65::6	66
video_c65::7	63
video_c65::8	48
video_c65::9	37
video_c66::0	57
video_c66::1	55
video_c66::10	50
video_c66::11	41
video_c66::12	40
video_c66::13	17
video_c66::14	16
video_c66::15	88
video_c66::16	62
video_c66::17	60
video_c66::18	37
video_c66::2	65
video_c66::3	10
video_c66::4	49
video_c66::5	46
video_c66::6	42
video_c66::7	64
video_c66::8	61
video_c66::9	26
video_c67::0	57
video_c67::1	39
video_c67::10	100
video_c67::11	88
video_c67::12	71
video_c67::13	16
video_c67::14	57
video_c67::15	34
video_c67::16	41
video_c67::17	88
video_c67::18	58
video_c67::19	42
video_c67::2	15
video_c67::20	89
video_c67::21	11
video_c67::3	83
video_c67::4	40
video_c67::5	13
video_c67::6	6
video_c67::7	70
video_c67::8	51
video_c67::9	133
video_c68::0	55
video_c68::1	27
video_c68::10	100
video_c68::11	39
video_c68::12	33
video_c68::13	56
video_c68::14	64
video_c68::15	37
video_c68::16	67
video_c68::17	78
video_c68::18	51
video_c68::19	64
video_c68::2	64
video_c68::20	39
video_c68::3	42
video_c68::4	13
video_c68::5	41
video_c68::6	50
video_c68::7	31
video_c68::8	67
video_c68::9	69
video_c69::0	287
video_c69::1	21
video_c69::2	241
video_c69::3	213
video_c69::4	124
video_c69::5	113
video_c69::6	193
video_c69::7	207
video_c69::8	279
video_c70::0	49
video_c70::1	90
video_c70::10	75
video_c70::11	33
video_c70::12	27
video_c70::13	39
video_c70::14	54
video_c70::15	57
video_c70::16	27
video_c70::17	10
video_c70::18	89
video_c70::19	73
video_c70::2	45
video_c70::20	44
video_c70::21	53
video_c70::22	62
video_c70::23	63
video_c70::24	34
video_c70::25	3
video_c70::3	93
video_c70::4	64
video_c70::5	17
video_c70::6	65
video_c70::7	64
video_c70::8	111
video_c70::9	82
video_c71::0	56
video_c71::1	52
video_c71::10	64
video_c71::11	58
video_c71::12	62
video_c71::13	43
video_c71::14	44
video_c71::15	69
video_c71::16	43
video_c71::17	54
video_c71::18	41
video_c71::19	12
video_c71::2	19
video_c71::20	42
video_c71::21	58
video_c71::3	61
video_c71::4	45
video_c71::5	26
video_c71::6	39
video_c71::7	54
video_c71::8	69
video_c71::9	39
video_c72::0	49
video_c72::1	50
video_c72::10	67
video_c72::11	54
video_c72::12	47
video_c72::13	33
video_c72::14	67
video_c72::15	50
video_c72::16	85
video_c72::17	89
video_c72::18	52
video_c72::2	34
video_c72::3	28
video_c72::4	72
video_c72::5	43
video_c72::6	72
video_c72::7	50
video_c72::8	35
video_c72::9	126
video_c73::0	64
video_c73::1	70
video_c73::10	47
video_c73::11	62
video_c73::12	92
video_c73::13	43
video_c73::14	44
video_c73::15	82
video_c73::16	45
video_c73::2	138
video_c73::3	45
video_c73::4	62
video_c73::5	72
video_c73::6	43
video_c73::7	52
video_c73::8	42
video_c73::9	37
video_c74::0	69
video_c74::1	100
video_c74::10	49
video_c74::11	32
video_c74::12	46
video_c74::13	23
video_c74::14	97
video_c74::15	58
video_c74::16	43
video_c74::17	29
video_c74::18	7
video_c74::19	66
video_c74::2	61
video_c74::20	75
video_c74::21	6
video_c74::3	42
video_c74::4	41
video_c74::5	37
video_c74::6	78
video_c74::7	34
video_c74::8	30
video_c74::9	67
video_c75::0	51
video_c75::1	39
video_c75::10	57
video_c75::11	26
video_c75::12	47
video_c75::13	118
video_c75::14	81
video_c75::15	59
video_c75::2	50
video_c75::3	40
video_c75::4	48
video_c75::5	41
video_c75::6	68
video_c75::7	64
video_c75::8	33
video_c75::9	85
video_c76::0	43
video_c76::1	83
video_c76::10	44
video_c76::11	43
video_c76::12	12
video_c76::13	50
video_c76::14	42
video_c76::15	83
video_c76::16	40
video_c76::17	30
video_c76::18	14
video_c76::19	3
video_c76::2	11
video_c76::3	49
video_c76::4	47
video_c76::5	26
video_c76::6	37
video_c76::7	55
video_c76::8	81
video_c76::9	56
video_c77::0	63
video_c77::1	82
video_c77::10	47
video_c77::11	257
video_c77::12	43
video_c77::2	35
video_c77::3	47
video_c77::4	106
video_c77::5	49
video_c77::6	93
video_c77::7	63
video_c77::8	80
video_c77::9	53
video_c78::0	73
video_c78::1	44
video_c78::10	75
video_c78::11	61
video_c78::12	49
video_c78::13	25
video_c78::14	116
video_c78::15	41
video_c78::16	43
video_c78::17	60
video_c78::18	61
video_c78::19	59
video_c78::2	45
video_c78::20	20
video_c78::3	32
video_c78::4	64
video_c78::5	33
video_c78::6	65
video_c78::7	49
video_c78::8	107
video_c78::9	57
video_c79::0	65
video_c79::1	28
video_c79::10	43
video_c79::11	67
video_c79::12	46
video_c79::13	76
video_c79::14	44
video_c79::15	61
video_c79::16	40
video_c79::2	84
video_c79::3	46
video_c79::4	46
video_c79::5	51
video_c79::6	56
video_c79::7	36
video_c79::8	55
video_c79::9	74
video_c80::0	47
video_c80::1	28
video_c80::10	59
video_c80::11	39
video_c80::12	65
video_c80::13	57
video_c80::14	36
video_c80::15	44
video_c80::16	44
video_c80::17	65
video_c80::2	89
video_c80::3	36
video_c80::4	87
video_c80::5	76
video_c80::6	39
video_c80::7	60
video_c80::8	48
video_c80::9	58
video_c81::0	118
video_c81::1	45
video_c81::2	146
video_c81::3	94
video_c81::4	41
video_c81::5	19
video_c81::6	11
video_c81::7	24
video_c81::8	243
